log_spread,time_ns,throughput_melem_s
0,2.7293,366.39
1,2.7178,367.94
2,2.7131,368.58
3,2.7116,368.78
4,2.7124,368.67
5,2.7121,368.71
6,2.7148,368.35
7,2.7218,367.41
8,2.7110,368.86
9,2.7176,367.97
10,2.7154,368.27
11,2.7147,368.36
12,2.7143,368.42
13,2.7183,367.88
14,2.7203,367.61
15,2.7236,367.16
16,2.7186,367.84
17,2.7247,367.01
18,2.7337,365.80
19,2.7194,367.72
20,2.7217,367.41
21,2.7279,366.58
22,2.7198,367.68
23,2.7231,367.23
24,2.7332,365.87
25,2.7391,365.08
26,2.7391,365.08
27,2.7549,362.99
28,2.7460,364.17
29,2.7403,364.93
30,2.7411,364.81